conId,title,assigneeId,assigneeName
Account.1,Security contact information should be provided for an AWS account.,,
Account.2,AWS account should be part of an AWS Organizations organization,,
ACM.1,Imported and ACM-issued certificates should be renewed after a specified time period,,
ACM.2,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",,
ACM.3,ACM certificates should be tagged,,
APIGateway.1,API Gateway REST and WebSocket API execution logging should be enabled,,
APIGateway.2,API Gateway REST API stages should be configured to use SSL certificates for backend authentication,,
APIGateway.3,API Gateway REST API stages should have AWS X-Ray tracing enabled,,
APIGateway.4,API Gateway should be associated with a WAF Web ACL,,
APIGateway.5,API Gateway REST API cache data should be encrypted at rest,,
APIGateway.8,API Gateway routes should specify an authorization type,,
APIGateway.9,Access logging should be configured for API Gateway V2 Stages,,
AppSync.1,AWS AppSync API caches should be encrypted at rest,,
AppSync.2,AWS AppSync should have field-level logging enabled,,
AppSync.4,AWS AppSync GraphQL APIs should be tagged,,
AppSync.5,AWS AppSync GraphQL APIs should not be authenticated with API keys,,
AppSync.6,AWS AppSync API caches should be encrypted in transit,,
Athena.2,Athena data catalogs should be tagged,,
Athena.3,Athena workgroups should be tagged,,
Athena.4,Athena workgroups should have logging enabled,,
Autoscaling.5,Amazon EC2 instances launched using Auto Scaling group launch configurations should not have Public IP addresses,,
AutoScaling.1,Auto scaling groups associated with a load balancer should use ELB health checks,,
AutoScaling.2,Amazon EC2 Auto Scaling group should cover multiple Availability Zones,,
AutoScaling.3,Auto Scaling group launch configurations should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),,
AutoScaling.6,Auto Scaling groups should use multiple instance types in multiple Availability Zones,,
AutoScaling.9,EC2 Auto Scaling groups should use EC2 launch templates,,
AutoScaling.10,EC2 Auto Scaling groups should be tagged,,
Backup.1,AWS Backup recovery points should be encrypted at rest,,
Backup.2,AWS Backup recovery points should be tagged,,
Backup.3,AWS Backup vaults should be tagged,,
Backup.4,AWS Backup report plans should be tagged,,
Backup.5,AWS Backup backup plans should be tagged,,
CloudFormation.2,CloudFormation stacks should be tagged,,
CloudFront.1,CloudFront distributions should have a default root object configured,,
CloudFront.3,CloudFront distributions should require encryption in transit,,
CloudFront.4,CloudFront distributions should have origin failover configured,,
CloudFront.5,CloudFront distributions should have logging enabled,,
CloudFront.6,CloudFront distributions should have WAF enabled,,
CloudFront.7,CloudFront distributions should use custom SSL/TLS certificates,,
CloudFront.8,CloudFront distributions should use SNI to serve HTTPS requests,,
CloudFront.9,CloudFront distributions should encrypt traffic to custom origins,,
CloudFront.10,CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins,,
CloudFront.12,CloudFront distributions should not point to non-existent S3 origins,,
CloudFront.13,CloudFront distributions should use origin access control,,
CloudFront.14,CloudFront distributions should be tagged,,
CloudTrail.1,CloudTrail should be enabled and configured with at least one multi-Region trail that includes read and write management events,,
CloudTrail.2,CloudTrail should have encryption at-rest enabled,,
